timestamp,cpu_pct,memory_mb,latency_ms
2026-05-01T10:00,23.1,4102,48
2026-05-01T10:05,22.8,4098,52
2026-05-01T10:10,23.4,4105,45
2026-05-01T10:15,22.9,4095,51
2026-05-01T10:20,23.0,4100,49
2026-05-01T10:25,23.2,4103,47
2026-05-01T10:30,22.7,4097,50
2026-05-01T10:35,23.3,4106,46
2026-05-01T10:40,23.1,4101,48
2026-05-01T10:45,22.9,4099,49
2026-05-01T10:50,23.0,4102,50
2026-05-01T10:55,23.2,4104,47
2026-05-01T11:00,22.8,4096,51
2026-05-01T11:05,23.1,4103,48
2026-05-01T11:10,23.4,4105,46
2026-05-01T11:15,22.9,4098,50
2026-05-01T11:20,23.0,4100,49
2026-05-01T11:25,23.3,4106,47
2026-05-01T11:30,22.8,4097,52
2026-05-01T11:35,23.1,4102,48
2026-05-01T11:40,23.2,4104,49
2026-05-01T11:45,22.9,4099,50
2026-05-01T11:50,23.0,4101,48
2026-05-01T11:55,23.1,4103,47
